,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
87,American Dipper,Cinclidae,Least Concern,Passeriformes,unicolor,SAMN12253825,PRJNA545868,,,USA,Kittitas,21-Aug-01,1280,VWYM00000000,47.03 N,120.94 W,USNM:630613,"SRR10019917, SRR10019918, SRR9947380",Female,"Ellensburg, 2 mi N, 18.5 mi W, Rogers Camp","National Museum of Natural History, Smithsonian Institution, USA",Washington,muscle,41.42,85.2,1.0,84.2,10340,26067,276339,46.0,6.8,12239142,1.21,8.0,1200,207283,173517,1012550703,GCA_013399935.1,ASM1339993v1,Cinclus mexicanus (birds),Scaffold,46,44268.0,213297.0,female,Cinclus_mexicanus,False,0
88,Black-chested Snake Eagle,Accipitridae,Least Concern,Accipitriformes,monotypic,SAMN12253898,PRJNA545868,,Exact locality information unknown,Namibia,,Unknown,,VZZV00000000,,,USNM:642474,"SRR9946917, SRR9946919, SRR9946920, SRR9946922",Male,,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.8,94.1,0.8,93.3,14347,23678,84576,50.0,3.5,23360974,1.97,2.4,260,1335465,4165,1183478128,GCA_013399555.1,ASM1339955v1,Circaetus pectoralis (black-chested snake-eagle),Scaffold,50,28952.0,1302531.0,male,Circaetus_pectoralis,False,0
89,Zitting Cisticola,Cisticolidae,Least Concern,Passeriformes,brunniceps,SAMN12253849,PRJNA545868,,,Japan,,20-Jun-09,,VXBR00000000,34.14 N,132.23 E,USNM:641819,"SRR9947244, SRR9947245, SRR9946812",Male,"Iwakuni, Marine Corps Air Station Iwakuni","National Museum of Natural History, Smithsonian Institution, USA",Yamaguchi Prefecture,muscle,41.82,93.0,0.8,92.2,6961,40687,124919,49.0,4.2,11175188,1.09,2.8,314,876550,52841,1020811471,GCA_013400215.1,ASM1340021v1,Cisticola juncidis (birds),Scaffold,49,74140.0,873777.0,male,Cisticola_juncidis,False,0
90,Rufous Treecreeper,Climacteridae,Least Concern,Passeriformes,monotypic,SAMN12253953,PRJNA545868,,,Australia,,20-Nov-89,,VZRZ00000000,32.00 S,121.65 E,NMV Z1706 / NMV B18045,"SRR9947339, SRR9947340, SRR9947341, SRR9947087, SRR9947088",Male,"Norseman, 28km north",Museums Victoria,Western Australia,"liver, heart or muscle",41.93,94.2,1.0,93.2,5848,52662,90339,45.0,3.4,10873082,1.02,2.4,332,864365,38497,1061977697,GCA_013398175.1,ASM1339817v1,Climacteris rufus (rufous treecreeper),Scaffold,45,72434.0,863000.0,male,Climacteris_rufus,False,0
91,Loria's Satinbird,Cnemophilidae,Least Concern,Passeriformes,loriae,SAMN12253940,PRJNA545868,,,Papua New Guinea,,2-Aug-87,,VZTF00000000,9.07 S,148.13 E,NMV Z43659 / ANWC B26861,"SRR9947281, SRR9947292, SRR9946776, SRR9946779, SRR9946741",Female,"Daleatana Environ, Gulugawa Ridge S above Awoma",Museums Victoria / Australian National Wildlife Collection,Oro Province,muscle,42.22,94.6,1.0,93.6,4391,66572,129665,46.0,3.4,7795155,0.74,2.0,203,1419201,79172,1051718590,GCA_013397755.1,ASM1339775v1,Cnemophilus loriae (Loria's bird-of-paradise),Scaffold,46,122939.0,1426893.0,female,Cnemophilus_loriae,False,0
92,Boat-billed Heron,Ardeidae,Least Concern,Pelecaniformes,cochlearius,SAMN12253750,PRJNA545868,,,Bolivia,,21-Aug-90,470,VWPP00000000,14.83 S,60.42 W,LSUMZ:B-18469,"SRR9994303, SRR9994304, SRR9947026",Unknown,"Velasco, Parque Nacional Noel Keonpff Mercado 86 km ESE of Florida","Louisiana State University Museum of Natural Science, USA",Santa Cruz Dpt.,muscle,42.95,94.5,0.9,93.6,6266,53870,43739,61.0,3.4,17724276,1.51,2.1,195,1677467,3767,1173759388,GCA_013396365.1,ASM1339636v1,Cochlearius cochlearius (boat-billed heron),Scaffold,61,62809.0,1662124.0,,Cochlearius_cochlearius,False,0
93,Northern Bobwhite,Odontophoridae,Near Threatened,Galliformes,taylori (?),SAMN02981558,PRJNA188411,,Coordinates approximate from locality information,USA,,,,GCA_000599465.2,,,,SRP018482,Female: Adult,Central Great Plains ecoregion,"Independently published, NCBI",Texas,"muscle, leg",42.66,91.6,1.0,90.6,5091,56067,152524,122.0,4.9,119897618,9.56,3.5,150,2042136,42369,1254146751,GCA_000599465.2,ASM59946v2,Colinus virginianus (northern bobwhite),Scaffold,122,56067.0,2042136.0,female,Colinus_virginianus,False,0
94,Speckled Mousebird,Coliidae,Least Concern,Coliiformes,unable to determine,SAMN02324230,PRJNA212892,Captive,"Captive bird, hence no coordinates",,,,,GCA_000690715.1,,,,SRP028965,Male,,"Copenhagen Zoo, Denmark",,blood,41.03,80.3,0.4,79.9,17445,18306,197008,27.0,12.2,7151494,0.66,7.5,6620,45637,105817,1086303309,GCF_000690715.1,ASM69071v1,Colius striatus (speckled mousebird),Scaffold,27,25860.0,46063.0,male,Colius_striatus,False,0
95,Domestic Pigeon (Rock Dove),Columbidae,Least Concern,Columbiformes,domestica,SAMN00993249,PRJNA167554,Captive,"Captive bird, hence no coordinates",,,,,GCA_000337935.2,,,,SRP013894,Male,,"Danmarks Racedueforeninger, Denmark",,blood,41.51,92.8,0.8,92.0,14475,22400,143123,63.0,4.6,20781163,1.87,2.6,82,3148738,38878,1111581692,GCA_000337935.2,Cliv_2.1,Columba livia (rock pigeon),Scaffold,60,26627.0,14233134.0,male,Columba_livia,False,0
96,Picui Ground Dove,Columbidae,Least Concern,Columbiformes,unable to determine,SAMN12253927,PRJNA545868,,,Uruguay,,25-Aug-02,107,VYZG00000000,33.77 S,57.38 W,USNM:630476,"SRR9946701, SRR9946462",Male,"Cardona, ca 9 km N, at Estancia Santa Emilia","National Museum of Natural History, Smithsonian Institution, USA",Soriano,mixed tissue sample,41.16,87.5,0.9,86.6,12788,22140,115887,73.0,6.2,74974490,6.83,6.3,441,616882,13409,1097921518,GCA_013397635.1,ASM1339763v1,Columbina picui (picui ground-dove),Scaffold,73,24994.0,616882.0,male,Columbina_picui,False,0
97,Seychelles Magpie Robin,Muscicapidae,Endangered,Passeriformes,monotypic,SAMN12254010,PRJNA545868,,,Seychelles,,15-Mar,0,WBNE00000000,4.33 S,55.39 E,SAFRING no. 4A52064,"SRR9853855, SRR9853832, SRR9853838, SRR9853845",Female,"Cousin Island, Territory T1A","Center for Evolutionary Hologenomics, University of Copenhagen, Denmark",,blood,41.67,91.5,0.9,90.6,3606,75837,48468,64.0,5.1,42628468,4.05,3.4,16,18557444,3664,1052508292,GCA_013398635.1,ASM1339863v1,Copsychus sechellarum (birds),Scaffold,374,109076.0,11085488.0,female,Copsychus_sechellarum,False,0
98,American Crow,Corvidae,Least Concern,Passeriformes,brachyrhynchos (?),SAMN02297499,PRJNA212869,Captive,"Captive bird, hence no coordinates",,,,,GCA_000691975.1,,,10-0582,SRP028317,Female,,"North Carolina Zoo, USA",,blood,41.87,93.3,0.9,92.4,12599,24481,124962,80.0,4.1,40345514,3.68,2.6,49,6953989,33301,1095175346,GCF_000691975.1,ASM69197v1,Corvus brachyrhynchos (American crow),Scaffold,80,29093.0,6953989.0,female,Corvus_brachyrhynchos,False,0
99,Carrion Crow,Corvidae,Least Concern,Passeriformes,cornix,SAMN02143031,"PRJNA258180, PRJNA192205",,,Sweden,,,,GCA_000738735.2,,,,"SRP100076, SRP022901",Male,Uppsala,"Independently published, NCBI",,blood,41.48,93.9,0.8,93.1,2945,94489,25988,150.0,3.5,30616787,2.94,2.6,14,21080102,113,1042281180,,,,,,,,,Corvus_cornix_cornix,False,0
100,New Caledonian Crow,Corvidae,Least Concern,Passeriformes,monotypic,SAMN12254009,PRJNA545868,,,New Caledonia,Wabao District,,60,WBNF00000000,21.57 S,167.96 E,NC3,"SRR9853668, SRR9853854, SRR9853665, SRR9853666",Female,In a traditional garden among primary rainforest,"Gemmell lab, University of Otago","Mare, Loyalty Islands Province",blood,42.12,91.4,1.1,90.3,1362,224553,14803,99.0,5.0,12864847,1.22,3.6,27,11959046,2591,1056910969,GCA_013398675.1,ASM1339867v1,Corvus moneduloides (New Caledonian crow),Scaffold,99,331397.0,4457534.0,female,Corvus_moneduloides,False,0
101,Great Blue Turaco,Musophagidae,Least Concern,Musophagiformes,monotypic,SAMN12253763,PRJNA545868,,Coordinates approximate from locality information,Burundi,Ndora,31-Jul-91,,WBMX00000000,2.89 S,29.12 E,FMNH:357942,"SRR9946966, SRR9946968, SRR9946969",Male,"Bukinanyama, Giserama, Kibira National Park","Field Museum of Natural History, USA",Cibitoke,missing,42.74,73.6,0.7,72.9,38248,6602,227213,75.0,11.4,117997689,10.77,15.0,2688,102847,37147,1095576948,GCA_013396815.1,ASM1339681v1,Corythaeola cristata (great blue turaco),Scaffold,75,7216.0,102987.0,male,Corythaeola_cristata,False,0
102,Grey Go-away-bird,Musophagidae,Least Concern,Musophagiformes,pallidiceps,SAMN12253899,PRJNA545868,,,Namibia,,5-Sep-09,1187,VXAM00000000,20.88 S,15.60 E,USNM:642466,"SRR9946921, SRR9946515",Female,Otjongoro,"National Museum of Natural History, Smithsonian Institution, USA",Erongo,muscle,41.73,93.9,1.0,92.9,8314,41007,56265,63.0,3.6,22112837,1.86,2.5,243,1398599,6352,1187754183,GCA_013399495.1,ASM1339949v1,Corythaixoides concolor (grey go-away-bird),Scaffold,63,52683.0,1108645.0,female,Corythaixoides_concolor,False,0
103,Japanese Quail,Phasianidae,Near Threatened,Galliformes,monotypic,SAMN03989050,"PRJNA314147, PRJNA292031",Captive; Inbred line,"Captive bird, hence no coordinates",France,,,,GCA_001577835.1,,,,SRP062380,Male,,"Independently published, NCBI",,blood,41.28,94.6,1.1,93.5,993,259559,13604,73.0,3.2,10397704,1.12,2.2,5,67000979,2012,927656957,GCF_001577835.1,Coturnix japonica 2.0,Coturnix japonica (Japanese quail),Chromosome,73,511217.0,2975000.0,male,Coturnix_japonica,False,0
104,Groove-billed Ani,Cuculidae,Least Concern,Cuculiformes,monotypic,SAMN12253881,PRJNA545868,,Coordinates approximate from locality information,Panama,,9-Apr-90,,VYZB00000000,9.15 N,82.06 W,USNM:607659,"SRR9947038, SRR9947039, SRR9946664, SRR9946665",Male,"Cayo Agua, Near Punta Limon","National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,muscle,41.38,94.3,0.9,93.4,4158,73496,33888,55.0,3.6,22228815,2.06,2.1,172,1745006,4068,1077966476,GCA_013397455.1,ASM1339745v1,Crotophaga sulcirostris (groove-billed ani),Scaffold,55,83601.0,1692907.0,male,Crotophaga_sulcirostris,False,0
105,Thicket Tinamou,Tinamidae,Least Concern,Tinamiformes,praepes,SAMN08476456,PRJNA433110,,Coordinates approximate from locality information,Costa Rica,,5-Jun-02,,PTEZ00000000.1,,,MCZ:337707,SRP136769,Male,"Cafetal stream, Area de Conservacion Guanacaste","Museum of Comparative Zoology, Harvard University, USA",Guanacaste,muscle,42.95,89.7,1.1,88.6,6295,50217,50695,48.0,6.1,31306939,2.79,4.2,129,2401919,8285,1122239192,GCA_003342915.1,cryCin1,Crypturellus cinnamomeus (birds),Scaffold,47.5,60620.0,2401919.0,male,Crypturellus_cinnamomeus,False,0
106,Little Tinamou,Tinamidae,Least Concern,Tinamiformes,unable to determine,SAMN12253745,PRJNA545868,,,Peru,Alto Biavo,6-Jul-12,713,VWPX00000000,7.39 S,76.36 W,MSB:Bird:42743,"SRR9994383, SRR9994384, SRR9994385, SRR9994386, SRR9994387, SRR9994388, SRR9994389, SRR9994372, SRR9994373, SRR9994380, SRR9994381, SRR9994382, SRR9946973, SRR9946977, SRR9946978, SRR9946980, SRR9946634, SRR9946633",Female,ca. 3.5 km W Incaico,"Museum of Southwestern Biology, University of New Mexico, USA",San Martin,"heart, liver, muscle",42.36,91.1,1.2,89.9,10093,27085,246052,80.0,5.1,27694134,2.62,3.8,316,841369,164811,1055474986,GCA_013389845.1,ASM1338984v1,Crypturellus soui (birds),Scaffold,80,79009.0,846765.0,female,Crypturellus_soui,False,0
107,Undulated Tinamou,Tinamidae,Least Concern,Tinamiformes,unable to determine,SAMN12253746,PRJNA545868,,,Peru,Iberia,29-Jun-11,318,VWPW00000000,11.71 S,69.21 W,MSB:Bird:37135,"SRR9994292, SRR9994294, SRR9994293, SRR9994295, SRR9994296, SRR9994297, SRR9994298, SRR9994299, SRR9994390, SRR9994300, SRR9994391, SRR9947132, SRR9947134, SRR9947135, SRR9947138, SRR9947140, SRR9947386, SRR9946797, SRR9946827, SRR9946828",Female,Alerta,"Museum of Southwestern Biology, University of New Mexico, USA",Madre de Dios,"heart, liver, muscle",42.12,89.3,1.0,88.3,8382,31512,244034,95.0,6.1,6417252,0.62,4.6,670,375789,181724,1034731832,GCA_013389825.1,ASM1338982v1,Crypturellus undulatus (birds),Scaffold,95,99502.0,387774.0,female,Crypturellus_undulatus,False,0
108,Common Cuckoo,Cuculidae,Least Concern,Cuculiformes,canorus,SAMN02298149,PRJNA212870,,,Kuwait,,6-Jul-11,100,GCA_000709325.1,28.56 N,48.09 E,LSUMZ:B-45971,SRP028349,Male,"Wafra New Town, Abdulaziz Ahmed Al-Ayoub Farm","Louisiana State University Museum of Natural Science, USA",Al Ah'madi Governorate,multiple tissues,41.55,94.4,0.9,93.5,10902,31110,123100,100.0,3.6,27717946,2.39,2.0,120,2989664,55203,1159208195,GCF_000709325.1,ASM70932v1,Cuculus canorus (common cuckoo),Scaffold,100,38137.0,2989832.0,male,Cuculus_canorus,False,0
109,Varied Sittella,Neosittidae,Least Concern,Passeriformes,leucoptera,SAMN12253948,PRJNA545868,,,Australia,,4-Sep-92,,VZRO00000000,16.77 S,135.73 E,NMV Z2168 / NMV B23757,"SRR9947188, SRR9947190, SRR9947189, SRR9946971",Male,"Cape Crawford, 10km south",Museums Victoria,Northern Territory,heart,42.17,94.0,0.9,93.1,6417,47004,108409,54.0,3.7,8811229,0.85,2.3,375,797961,55298,1038372177,GCA_013397915.1,ASM1339791v1,Daphoenositta chrysoptera (varied sittella),Scaffold,54,79485.0,804295.0,male,Daphoenositta_chrysoptera,False,0
110,Rufous Bristlebird,Dasyornithidae,Least Concern,Passeriformes,caryochrous,SAMN12253949,PRJNA545868,,,Australia,,20-Jan-96,,VZRN00000000,38.47 S,144.10 E,NMV Z158.3,"SRR9947191, SRR9947192, SRR9946780, SRR9946781, SRR9946783",Unknown,Airey's Inlet,Museums Victoria,Victoria,liver,42.02,94.5,0.9,93.6,6372,48018,80471,44.0,3.4,6664834,0.65,2.1,193,1409288,29408,1027133976,GCA_013397935.1,ASM1339793v1,Dasyornis broadbenti (rufous bristle-bird),Scaffold,44,67799.0,1415013.0,,Dasyornis_broadbenti,False,0
111,Red-banded Flowerpecker,Dicaeidae,Least Concern,Passeriformes,eximium,SAMN12253792,PRJNA545868,,,Papua New Guinea,,20-Jan-94,240,VWZP00000000,4.45 S,152.93 E,USNM:608695,"SRR10019972, SRR10019973, SRR10019974",Female,Weitin River Valley,"National Museum of Natural History, Smithsonian Institution, USA",New Ireland Province,muscle,42.03,94.1,1.0,93.1,5167,55437,103366,49.0,3.6,8761441,0.86,2.3,238,1082530,45299,1018686888,GCA_013396995.1,ASM1339699v1,Dicaeum eximium (birds),Scaffold,49,117005.0,1096110.0,female,Dicaeum_eximium,False,0
112,Ribbon-tailed Drongo,Dicruridae,Near Threatened,Passeriformes,monotypic,SAMN12253804,PRJNA545868,,,Papua New Guinea,,16-Jan-94,240,VXAD00000000,4.45 S,152.93 E,USNM:616063,"SRR10019952, SRR10019953, SRR10019954",Unknown,Weitin River Valley,"National Museum of Natural History, Smithsonian Institution, USA",New Ireland Province,muscle,42.06,94.2,1.1,93.1,4629,66873,328104,42.0,3.7,6336125,0.58,2.1,289,1020391,274599,1083428237,GCA_013399195.1,ASM1339919v1,Dicrurus megarhynchus (birds),Scaffold,42,143784.0,1068420.0,,Dicrurus_megarhynchus,False,0
113,Donacobius,Donacobiidae,Least Concern,Passeriformes,atricapilla,SAMN12253813,PRJNA545868,,,Guyana,,15-Mar-00,,WBMY00000000,6.57 N,58.08 W,USNM:626099,"SRR10019941, SRR10019939, SRR10019940, SRR9947273",Female,East Demerara Water Conservancy,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,42.03,92.7,0.9,91.8,9314,31991,172898,49.0,4.2,11226043,1.06,3.1,537,539859,78558,1060417622,GCA_013397315.1,ASM1339731v1,Donacobius atricapilla (birds),Scaffold,49,64871.0,542855.0,female,Donacobius_atricapilla,False,0
114,Emu,Casuariidae,Least Concern,Casuariiformes,novaehollandiae,SAMN12253764,PRJNA545868,"Captive; San Diego Zoo, necropsy:30803; 25 yr., 1 mo. 7 days old (hatched 3/31/67; died 5/8/92)","Captive bird, hence no coordinates",,,,,VWZH00000000,,,LSUMZ:B-23963,"SRR9994342, SRR9994343, SRR9994344, SRR9994345, SRR9994346, SRR9994347, SRR9994348, SRR9994349, SRR9994350, SRR9994351, SRR9946960, SRR9947049, SRR9947082, SRR9947083, SRR9946961, SRR9946964, SRR9946965, SRR9946768, SRR9946765, SRR9946766",Female,,"Louisiana State University Museum of Natural Science, USA",,muscle,41.48,94.5,0.8,93.7,4889,69776,37534,71.0,3.2,25755231,2.15,2.3,77,4151198,3301,1200677614,GCA_013396795.1,ASM1339679v1,Dromaius novaehollandiae (emu),Scaffold,71,86977.0,4098324.0,female,Dromaius_novaehollandiae,False,0
115,Crab-plover,Dromadidae,Least Concern,Charadriiformes,monotypic,SAMN12253915,PRJNA545868,,"Source coordinates appear wrong. Likely mixup: west, which should be east. Original coordinates: 43 32 30 N        43 10 00 E; new coordinates approximated from locality information",Djibouti,,2-May-14,5,VYZM00000000,11.54 N,43.15 E,USNM:647762,"SRR9947370, SRR9947374, SRR9947377, SRR9947375, SRR9947376",Unknown,"Camp Lemonnier, ca 5.5 km SE Djibouti","National Museum of Natural History, Smithsonian Institution, USA",Djibouti Region,muscle,42.15,91.0,0.8,90.2,9982,32770,190420,44.0,5.1,42571444,3.56,3.9,1026,311185,71618,1197458935,GCA_013398915.1,ASM1339891v1,Dromas ardeola (birds),Scaffold,44,40991.0,314166.0,,Dromas_ardeola,False,0
116,Southern Scrub Robin,Petroicidae,Least Concern,Passeriformes,monotypic,SAMN12253961,PRJNA545868,,,Australia,,,,VZTZ00000000,33.18 S,121.72 E,NMV Z2225 / NMV B26663,"SRR9947210, SRR9947053, SRR9946686, SRR9946687",Female,"Norseman, 120 Kms S of",Museums Victoria,Western Australia,"heart, muscle",41.96,87.2,1.0,86.2,7016,38538,350119,48.0,6.1,12734325,1.18,6.7,587,431101,252736,1078915646,GCA_013400955.1,ASM1340095v1,Drymodes brunneopygia (birds),Scaffold,48,79910.0,443364.0,,Drymodes_brunneopygia,False,0
117,Northern Puffback,Malaconotidae,Least Concern,Passeriformes,gambensis,SAMN12253866,PRJNA545868,,,Ghana,,9-Feb-00,120,WEIT00000000,8.79 N,1.49 W,LSUMZ:B-39311,"SRR9946851, SRR9946852, SRR9946853",Female,"Gonja Triangle, ca 2 km W Buipe","Louisiana State University Museum of Natural Science, USA",Northern Region,muscle,42.63,78.9,0.8,78.1,12643,19917,455345,42.0,7.8,22653569,2.21,13.3,2038,104409,317817,1023999381,GCA_013389985.1,ASM1338998v1,Dryoscopus gambensis (birds),Scaffold,42,29388.0,113106.0,female,Dryoscopus_gambensis,False,0
118,Chestnut Wattle-eye,Platysteiridae,Least Concern,Passeriformes,castanea,SAMN12253821,PRJNA545868,,,Gabon,,12-Mar-02,30,VYXC00000000,1.95 S,9.87 E,USNM:627032,"SRR9947196, SRR9947199",Female,"Rabi Oil Field, Rabi033","National Museum of Natural History, Smithsonian Institution, USA",Ogooue Maritime Province,muscle,42.4,94.0,0.9,93.1,7485,39908,139701,50.0,3.6,10372555,0.98,2.4,386,715059,62269,1063709178,,,,,,,,,Dyaphorophyia_castanea,False,0
119,Blackish Cicadabird,Campephagidae,Least Concern,Passeriformes,coerulescens,SAMN12253783,PRJNA545868,,,Philippines,Cagayan,5-May-89,,VWZW00000000,17.85 N,121.98 E,USNM:607407,"SRR10019975, SRR10019976, SRR10019979",Female,"Sierra Madre, W slope, Barrio Via, Sitio Hot Springs, Baggao Municipality","National Museum of Natural History, Smithsonian Institution, USA",Luzon,muscle,42.32,94.7,0.9,93.8,5019,58610,95514,42.0,3.5,8266794,0.79,1.8,212,1332512,37143,1045457507,GCA_013397115.1,ASM1339711v1,Edolisoma coerulescens (birds),Scaffold,42,131175.0,1336768.0,female,Edolisoma_coerulescens,False,0
120,Little Egret,Ardeidae,Least Concern,Pelecaniformes,garzetta,SAMN02596466,PRJNA232959,,Coordinates approximate from locality information,China,Yangxian County,,,GCA_000687185.1,,,,SRP035853,Male,South Qinling Mountains,"State Forestry and Grassland Administration, China",Shaanxi,blood,42.3,93.4,0.6,92.8,14379,23879,149025,74.0,4.2,49316013,4.07,2.4,114,3051370,44452,1211513874,GCF_000687185.1,ASM68718v1,Egretta garzetta (little egret),Scaffold,74,29019.0,3067157.0,male,Egretta_garzetta,False,0
121,Elachura,Timaliidae,Least Concern,Passeriformes,monotypic,SAMN12253967,PRJNA545868,,Coordinates approximate from locality information,China,,,,WBNG00000000,27.91 N,117.89 E,IOZ:20218,"SRR9947382, SRR9946796",Unknown,Wuyi Mountain,"Chinese Academy of Sciences, China",Jiangxi,blood,41.24,90.4,2.2,88.2,7692,35386,59508,65.0,4.7,32588115,3.21,4.9,190,1206722,9416,1013721462,GCA_013398795.1,ASM1339879v1,Elachura formosa (spotted wren-babbler),Scaffold,65,43159.0,1152566.0,,Elachura_formosa,False,0
122,Chestnut-eared Bunting,Emberizidae,Least Concern,Passeriformes,fucata,SAMN12253922,PRJNA545868,,,Japan,,20-Jun-09,,VYZJ00000000,34.14 N,132.23 E,USNM:641822,"SRR9946943, SRR9946945, SRR9946939, SRR9946940, SRR9946946",Female,"Iwakuni, Marine Corps Air Station Iwakuni","National Museum of Natural History, Smithsonian Institution, USA",Yamaguchi Prefecture,mixed tissue sample,42.02,91.4,0.8,90.6,16239,16757,115556,57.0,4.9,41748906,4.04,3.7,272,911827,11181,1032605053,GCA_013398835.1,ASM1339883v1,Emberiza fucata (birds),Scaffold,57,19687.0,892245.0,female,Emberiza_fucata,False,0
123,Galah,Cacatuidae,Least Concern,Psittaciformes,albiceps,SAMN12253931,PRJNA545868,,Coordinates approximate from locality information,Australia,,2002,,WBNI00000000,37.66 S,142.35 E,USNM:632230,"SRR9947252, SRR9947253, SRR9947254, SRR9947255, SRR9946566, SRR9946551",Female,Dunkeld,"National Museum of Natural History, Smithsonian Institution, USA",Victoria,mixed tissue sample,41.79,88.4,1.1,87.3,15443,17831,116495,55.0,5.7,44224686,4.15,5.9,618,439985,14265,1065379040,GCA_013397615.1,ASM1339761v1,Eolophus roseicapilla (galah),Scaffold,55,21735.0,418393.0,female,Eolophus_roseicapilla,False,0
124,European Robin,Muscicapidae,Least Concern,Passeriformes,rubecula (?),SAMN12253986,PRJNA545868,,,Germany,,,4,VZSK00000000,53.15 N,8.16 E,colour ring: ER59grey,"SRR9853700, SRR9853701, SRR9853703",Male,Botanical Garden Oldenburg,"Mouritsen Group, Carl von Ossietzky UniversitŠt, Germany",Lower Saxony,blood,41.1,93.8,1.0,92.8,3830,73416,29526,159.0,3.4,15299363,1.56,2.8,46,5917692,2473,979866744,GCA_013398395.1,ASM1339839v1,Erithacus rubecula (European robin),Scaffold,159,73144.0,2955106.0,male,Erithacus_rubecula,False,0
125,Erpornis,Vireonidae,Least Concern,Passeriformes,brunnescens,SAMN12253868,PRJNA545868,,,Malaysia,,4-Feb-05,850,VZTN00000000,4.46 N,117.91 E,LSUMZ:B-51177,"SRR9946844, SRR9946845, SRR9946854",Female,"Mt. Lucia, ca 8 km N Tawau Hills Park headquarters","Louisiana State University Museum of Natural Science, USA",Sabah,muscle,42.04,84.5,0.9,83.6,9260,28536,367349,45.0,6.7,16876838,1.63,8.8,1389,169693,250628,1036643878,GCA_013400515.1,ASM1340051v1,Erpornis zantholeuca (birds),Scaffold,45,45331.0,176063.0,female,Erpornis_zantholeuca,False,0
126,Chestnut-capped Flycatcher Warbler,Scotocercidae,Least Concern,Passeriformes,nigeriae,SAMN12253870,PRJNA545868,,,Ghana,,25-Mar-03,260,VZRG00000000,6.71 N,2.73 W,LSUMZ:B-45295,"SRR9947161, SRR9947162, SRR9947165, SRR9947166, SRR9947167, SRR9947168, SRR9947172, SRR9946759",Male,26 km SW Goaso,"Louisiana State University Museum of Natural Science, USA",Brong-Ahafo Region,muscle,41.51,89.9,1.1,88.8,3679,76154,42900,122.0,6.2,20250703,1.97,3.9,722,347331,11375,1030128718,GCA_013397435.1,ASM1339743v1,Erythrocercus mccallii (birds),Scaffold,122,83996.0,346475.0,male,Erythrocercus_mccallii,False,0
127,Red-headed Barbet,Ramphastidae,Least Concern,Piciformes,salvini,SAMN12253768,PRJNA545868,,Coordinates approximate from locality information,Panama,,7-May-90,1180,VWZE00000000,8.65 N,82.21 W,USNM:542831,"SRR9994357, SRR9994358, SRR9994359",Female,"Los Planes, 12.6 km N, On Gualaca-Chiriqui Grande Rd.","National Museum of Natural History, Smithsonian Institution, USA",Chiriqui,muscle,44.55,89.2,0.9,88.3,21212,14894,327606,38.0,6.6,32162860,2.57,4.2,1399,204279,160263,1252240762,GCA_013396675.1,ASM1339667v1,Eubucco bourcierii (red-headed barbet),Scaffold,38,26549.0,208022.0,female,Eubucco_bourcierii,False,0
128,Elegant Crested Tinamou,Tinamidae,Least Concern,Tinamiformes,unable to determine,SAMN12253968,PRJNA545868,,"Locality imprecise, no coordinates",Argentina,,,,VZSX00000000,,,LSUMZ:B-16893,"SRR9947195, SRR9947100, SRR9947115, SRR9947268, SRR9947208, SRR9947346, SRR9947348, SRR9947383, SRR9947385, SRR9946870, SRR9946889, SRR9946950, SRR9947084, SRR9946600, SRR9946609, SRR9946610, SRR9946563, SRR9946564, SRR9946576, SRR9946581, SRR9946614, SRR9946615, SRR9946791",Female,,"Louisiana State University Museum of Natural Science, USA",Nequen,missing,42.18,93.5,0.9,92.6,4220,63613,32855,84.0,4.1,21938752,2.29,2.4,50,6275819,2603,958982151,GCA_013398775.1,ASM1339877v1,Eudromia elegans (elegant crested-tinamou),Scaffold,84,74838.0,6275819.0,female,Eudromia_elegans,False,0
129,Wattled Ploughbill,Eulacestomatidae,Least Concern,Passeriformes,monotypic,SAMN12253941,PRJNA545868,,,Papua New Guinea,,2-Aug-87,,VZTE00000000,9.07 S,148.13 E,NMV Z42717 / ANWC B26863,"SRR9947293, SRR9947294, SRR9947295, SRR9947296, SRR9947297",Male,"Daleatana Environ, Gulugawa Ridge S above Awoma",Museums Victoria / Australian National Wildlife Collection,Oro Province,heart,42.17,95.1,0.9,94.2,5161,59637,70474,44.0,2.9,7399406,0.71,2.0,237,1159056,29354,1042794322,GCA_013397775.1,ASM1339777v1,Eulacestoma nigropectus (wattled ploughbill),Scaffold,44,75916.0,1156832.0,male,Eulacestoma_nigropectus,False,0
